iter	Passed	Remaining
0	50	50553
1	55	27481
2	57	19070
3	59	14796
4	60	12105
5	64	10640
6	66	9409
7	71	8858
8	73	8121
9	76	7607
10	78	7100
11	81	6691
12	83	6361
13	87	6138
14	90	5928
15	92	5696
16	95	5497
17	97	5323
18	103	5340
19	106	5206
20	109	5088
21	111	4967
22	114	4856
23	117	4790
24	120	4700
25	123	4614
26	126	4573
27	128	4475
28	131	4413
29	134	4346
30	135	4235
31	138	4181
32	141	4133
33	143	4065
34	145	4003
35	148	3969
36	151	3932
37	152	3863
38	154	3797
39	156	3750
40	158	3704
41	160	3653
42	163	3648
43	166	3627
44	169	3586
45	170	3545
46	173	3510
47	175	3482
48	179	3483
49	181	3457
50	183	3423
51	185	3386
52	188	3373
53	192	3371
54	195	3359
55	198	3348
56	200	3321
57	203	3301
58	207	3301
59	209	3274
60	212	3274
61	214	3251
62	217	3232
63	220	3230
64	223	3215
65	229	3253
66	232	3242
67	235	3224
68	237	3211
69	241	3204
70	244	3200
71	247	3184
72	249	3164
73	251	3153
74	255	3152
75	259	3160
76	264	3169
77	268	3170
78	273	3194
79	278	3198
80	282	3204
81	284	3190
82	289	3195
83	294	3211
84	296	3192
85	299	3179
86	304	3195
87	308	3194
88	310	3178
89	315	3186
90	317	3175
91	322	3178
92	323	3159
93	326	3146
94	328	3133
95	330	3116
96	332	3099
97	335	3090
98	338	3082
99	341	3074
100	343	3057
101	345	3043
102	347	3027
103	351	3026
104	354	3021
105	356	3008
106	359	2999
107	363	3001
108	366	2993
109	369	2991
110	372	2983
111	375	2978
112	377	2964
113	379	2949
114	381	2937
115	383	2925
116	386	2916
117	388	2901
118	391	2899
119	394	2892
120	396	2881
121	400	2880
122	403	2878
123	405	2867
124	407	2855
125	409	2843
126	412	2835
127	415	2831
128	419	2829
129	420	2817
130	423	2808
131	426	2801
132	430	2804
133	434	2807
134	437	2800
135	439	2790
136	441	2783
137	449	2809
138	453	2808
139	455	2799
140	458	2793
141	461	2787
142	468	2810
143	472	2806
144	474	2800
145	478	2796
146	482	2800
147	484	2791
148	487	2783
149	490	2780
150	494	2780
151	497	2775
152	500	2770
153	502	2761
154	505	2753
155	507	2744
156	511	2745
157	515	2745
158	518	2740
159	520	2732
160	522	2723
161	526	2725
162	531	2728
163	534	2723
164	536	2714
165	538	2705
166	542	2706
167	546	2706
168	549	2703
169	552	2696
170	557	2702
171	561	2701
172	563	2692
173	565	2684
174	568	2680
175	572	2681
176	575	2676
177	578	2669
178	581	2665
179	583	2656
180	585	2648
181	587	2641
182	591	2640
183	593	2634
184	596	2628
185	599	2621
186	602	2618
187	605	2617
188	608	2611
189	610	2603
190	614	2603
191	617	2597
192	621	2598
193	623	2592
194	627	2588
195	629	2583
196	632	2576
197	635	2575
198	639	2574
199	643	2574
200	647	2575
201	651	2572
202	654	2568
203	658	2568
204	660	2562
205	663	2556
206	665	2549
207	668	2545
208	671	2540
209	673	2533
210	675	2526
211	679	2526
212	683	2525
213	685	2519
214	687	2511
215	689	2503
216	692	2496
217	694	2492
218	697	2486
219	701	2488
220	705	2486
221	708	2482
222	710	2474
223	712	2466
224	714	2462
225	717	2456
226	720	2455
227	723	2448
228	724	2440
229	727	2434
230	731	2433
231	734	2432
232	737	2427
233	739	2421
234	742	2416
235	745	2414
236	748	2410
237	750	2403
238	753	2398
239	756	2394
240	759	2392
241	762	2389
242	765	2385
243	769	2383
244	771	2377
245	773	2369
246	775	2362
247	778	2359
248	781	2357
249	784	2352
250	787	2349
251	789	2343
252	792	2341
253	795	2337
254	798	2331
255	800	2325
256	802	2319
257	806	2318
258	809	2316
259	812	2312
260	814	2306
261	817	2302
262	820	2299
263	824	2297
264	826	2293
265	830	2291
266	833	2289
267	835	2283
268	839	2281
269	841	2276
270	846	2276
271	849	2273
272	851	2268
273	855	2265
274	857	2261
275	861	2260
276	863	2253
277	865	2247
278	867	2242
279	870	2239
280	873	2234
281	875	2229
282	877	2223
283	879	2217
284	882	2213
285	884	2208
286	887	2204
287	889	2199
288	892	2195
289	894	2191
290	897	2186
291	899	2181
292	902	2178
293	905	2175
294	908	2172
295	911	2167
296	913	2161
297	914	2155
298	918	2152
299	920	2148
300	922	2142
301	924	2137
302	927	2133
303	929	2127
304	932	2124
305	935	2121
306	937	2117
307	939	2111
308	942	2107
309	945	2104
310	948	2101
311	951	2099
312	954	2094
313	956	2089
314	958	2084
315	961	2081
316	964	2078
317	968	2077
318	971	2074
319	974	2069
320	976	2064
321	977	2059
322	981	2056
323	984	2054
324	986	2049
325	988	2044
326	990	2039
327	993	2035
328	997	2033
329	999	2029
330	1001	2023
331	1003	2018
332	1005	2013
333	1008	2011
334	1010	2006
335	1013	2002
336	1016	2000
337	1019	1997
338	1023	1995
339	1026	1991
340	1028	1987
341	1031	1985
342	1035	1982
343	1038	1981
